word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
'hood,hʊd,,"n. 罩；风帽；（布质）面罩；学位连领帽（表示学位种类）\nv. 覆盖；用头巾包；使(马,鹰等)戴头罩；给…加罩\n[网络] 胡德；兜帽；引擎盖",,,,,0,0,,,
-gamy,-ɡeimi,," 表示：婚姻,性结合：polygamy; 具有...受精方式；具有...生殖器官：cleistogamy",,,,,0,0,,,
-gate,geɪt,,n. 大门；出入口；门道\nvt. 给…装大门\nn. (Gate)人名；(英)盖特；(法、瑞典)加特,,,,,0,0,,,
-gen,d'ʒen,," [医]〔词尾〕原, 剂：加到词干上指该词干表示的物体或状态产生的动因, 如过敏原(allergen), 冷冻剂(cryogen), 致病原(pathogen)",,,,,0,0,,,
-genetic,dʒɪ'netɪk,,a. 遗传的；基因的；起源的,,,,,0,0,,,
butylbenzene,,,[化] 丁苯,,,,,0,0,,,
butylcarboxylic acid,,,"[医] 戊酸, 缬草酸",,,,,0,0,,,
butylcellosolve,,,[化] 丁基溶纤剂; 乙二醇单丁醚,,,,,0,0,,,
butylcellusolve,",bju:til'selә,sɔlv",,"丁基溶纤剂, 乙二醇二丁醚",,,,,0,0,,,
butylchloral,bjutil'klɔ:rәl,,丁氯醛,,,,,0,0,,,
by pass,bai pɑ:s,, 旁路，绕道,,,,,0,0,,,
by persistence,,,"坚持不懈地,凭毅力",,,,,0,0,,,
by piecemeal,,,"一件一件地, 逐渐地, 零碎地",,,,,0,0,,,
by plane,,,乘飞机,,,,,0,0,,,
by post,,,"经邮局,通过邮寄",,,,,0,0,,,
community real income,,,[经] 社会(集体)实际收入,,,,,0,0,,,
community responsibility,,,[法] 社会责任,,,,,0,0,,,
community school,,,社区学校,,,,,0,0,,,
community service,kəˈmju:niti ˈsɜːvɪs,,"n. 感化, 感化工作",,1,,,0,0,,,
Community Service Network,,,[计] 社区服务网络,,,,,0,0,,,
community television system,,,[电] 社区电视系统,,,,,0,0,,,
community view,,,[计] 共同意向,,,,,0,0,,,
inconsecutive,.inkәn'sekjutiv,,"a. 不连续的, 前后不连贯的",,,,,0,0,,,
inconsecutively,inkәnˊsekjutivli,,adv. 不连续,,,,,0,0,,,
inconsequence,in'kɒnsikwәns,n. having no important effects or influence,"n. 不合理, 矛盾, 不切题",,,,,0,0,,,
inconsequent,in'kɒnsikwәnt,s. lacking worth or importance,"a. 不合理的, 矛盾的, 不切题的",,,,,0,0,,,
nite,nait,,n. 夜间（等于night）,,,,,0,30143,,,
niteflix,,Dreams so complex in plot and rich in production value that they seem like feature length films.\n> Wow! I had niteflix last night. The only thing missing were the end credits.\n> I wonder if Steven Spielberg has niteflix.\n,,,,,,0,0,,,
Nitella,,,n. 丽藻属\n[网络] 尼他拉；尼特拉牌手表；黑轮藻属,,,,,0,0,,,
Nitelleae,,,拟轮藻亚纲,,,,,0,0,,,
nitro-paraffin,,,[化] 硝基烷烃,,,,,0,0,,,
nitro-pentaerythrite,,,[化] 季戊四醇硝酸酯; 季戊四醇四硝酸酯,,,,,0,0,,,
nitro-phenyl isocyanate,,,[化] 异氰酸硝基苯酯,,,,,0,0,,,
nitro-powder,,,n. 硝化火药,,,,,0,0,,,
no flies on,,,"很机灵,精明",,,,,0,0,,,
no fonts installed,,,没有安装字体\n[计] 没有安装字体,,,,,0,0,,,
no funds,,,存款不足\n[经] 存款不足,,,,,0,0,,,
No gains without pains,,,不劳则无获,,,,,0,0,,,
stag party,stæg ˈpɑ:ti,,n. <口>只有男人参加的交谊会,,,,,0,0,,,
stag's garlic,,,[网络] 雄鹿的大蒜,,,,,0,0,,,
stag's-horn coral,,,[网络] 雄鹿角珊瑚,,,,,0,0,,,
stag-born calculus,,,[医] 鹿角样结石(肾盂),,,,,0,0,,,
plant material (as straw)\nv. cover with thatch,"n. 盖屋顶的茅草, 用草盖的屋顶, 浓密头发\nvt. 用茅草覆盖",,1,,toefl gre,19178,20118,i:thatching/d:thatched/s:thatches/3:thatches/p:thatched,,
thatch palm,,,[网络] 茅草掌,,,,,0,0,,,
thatch tree,,,[网络] 茅草树,,,,,0,0,,,
unshipp,,,v. 船上卸货;船客等下船;解下,,,,,0,0,,,
unshipped,ʌn'ʃɪpt,,v. 从船上卸，解下，被卸下( unship的过去式和过去分词 ),,,,,0,0,,,
unshipping,,," 从船上卸, 解下, 被卸下( unship的现在分词 )",,,,,0,0,,,
unships,,,"从船上卸, 解下, 被卸下（unship的第三人称单数形式）",,,,,0,0,,,
Why do you dislike the medicine so much,,,你为何如此不喜欢吃药呢,,,,,0,0,,,
why ever,hwai ˈevə,, 为什么（表示惊讶）,,,,,0,0,,,
why not,hwai nɔt,, 何妨；何不,,,,,0,0,,,
why not...?,,,为什么不...?,,,,,0,0,,,
